housing_area_code,facility_key,shape_wkt,facility_type,ordinal_number,structure_type,shape,fabricated_type_code,pref,created_by,created_at,updated_by,updated_at
13104006,設備名マスク済_260,POINT(139.685983728098 35.6843254841733),ＭＨ,3,ＩＣ,直線形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
13104006,設備名マスク済_261,POINT(139.686194519362 35.6844501310912),ＭＨ,5,ＩＣ,分岐Ｌ形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
13104006,設備名マスク済_262,POINT(139.686619441421 35.684686808699),ＭＨ,3,ＩＣ,直線形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
13104006,設備名マスク済_263,POINT(139.685295044586 35.6839343459294),ＭＨ,4,ＩＣ,直線形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
13104006,設備名マスク済_264,POINT(139.685634739011 35.6846128641011),ＨＨ,3,ＩＣ,一般ＨＨ,,東京,システム管理者,2020-08-20T04:33:51,,
13104006,設備名マスク済_265,POINT(139.685329896068 35.6845653480631),ＨＨ,3,ＩＣ,一般ＨＨ,,東京,システム管理者,2020-08-20T04:33:51,,
13104006,設備名マスク済_266,POINT(139.685171199186 35.6845297290117),ＨＨ,3,ＩＣ,一般ＨＨ,,東京,システム管理者,2020-08-20T04:33:51,,
13104006,設備名マスク済_267,POINT(139.684989538933 35.684485067755),ＭＨ,3,ＩＣ,直線形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
13104006,設備名マスク済_268,POINT(139.684572668646 35.6844373215749),ＨＨ,4,ＩＣ,一般ＨＨ,,東京,システム管理者,2020-08-20T04:33:51,,
13104006,設備名マスク済_269,POINT(139.687596262887 35.685207184427),ＭＨ,3,ＩＣ,直線形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
10000001,VFA_01,POINT(106.689068 10.781816),ＭＨ,3,ＩＣ,直線形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
10000001,VFA_02,POINT(106.688947 10.781632),ＭＨ,3,ＩＣ,分岐Ｌ形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
10000001,VFA_03,POINT(106.688468 10.781239),ＭＨ,4,ＩＣ,分岐Ｌ形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
10000001,VFA_04,POINT(106.688581 10.781566),ＨＨ,4,ＩＣ,一般ＨＨ,,東京,システム管理者,2020-08-20T04:33:51,,
10000001,VFA_05,POINT(106.688267 10.781461),ＭＨ,4,ＩＣ,直線形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
10000001,VFA_06,POINT(106.688294 10.781134),ＭＨ,4,ＩＣ,直線形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
10000001,VFA_07,POINT(106.688472 10.781133),ＭＨ,4,ＩＣ,直線形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,
10000001,VFA_08,POINT(106.688560 10.781102),ＨＨ,4,ＩＣ,一般ＨＨ,,東京,システム管理者,2020-08-20T04:33:51,,
10000001,VFA_09,POINT(106.688689 10.781228),ＭＨ,4,ＩＣ,分岐Ｌ形ＭＨ,,東京,システム管理者,2020-08-20T04:33:51,,